,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
0,Alkollü içecekler ve tütün,0.012674131568668479,9.89672018894565,0.0,0.0,0.00015649175282295147,5.200867551566324,6.582792174172347,0.3552117474002525,1.8055448975974997,5.273080874363445
1,Ev eşyası,5.94001665132331,3.482335226735933,0.8780426015428722,1.5870862594105306,0.4547727336364771,1.3578178553655285,1.3370990723198917,0.8462731363187093,1.308751862995372,1.233142946009158
2,Eğitim,7.486045556938636,7.61877251498575,0.012453229697695356,0.012208411620129311,0.13263975057504762,4.432935916222025,-2.618001371246237e-08,28.268354856311404,0.2213622915953506,-0.00026600492182282665
3,Eğlence ve kültür,3.6160089919067495,1.4900455588753525,0.980046845766025,1.5863699503167128,0.26007567205323934,1.0365969916885875,0.9250650810376904,0.895278978286318,1.0477002765106436,0.5102186035015555
4,Giyim ve ayakkabı,4.505287118599832,6.5307537423521245,1.0903102206593296,-0.0280300001303746,0.4490710655536523,0.6009910459221279,-3.71503854708225,1.3953283081802548,12.27968092932825,0.8038462455830286
5,Gıda ve alkolsüz içecekler,3.424605058506547,5.117009754623325,1.7894640449029442,-0.391024212624147,-0.21158412847869235,0.7003576171809689,2.132092831466137,2.8669950563534163,4.213054655690285,4.144775846068294
6,Haberleşme,-1.0938528271318027,-1.4834242358469307,-2.027968015627546,-0.14845299514956167,-0.18226489893246045,0.29222060804008354,1.804085524804755,2.146591469672088,0.0070801373768025755,-0.011069738424973607
7,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",5.072060956601043,2.3818463936494227,5.0891614739092095,3.4972571459991997,3.0474077102262243,5.375390730829066,2.1439500603854134,2.676498857605192,2.1759543238502044,2.0269797099752296
8,Lokanta ve oteller,3.5612199213409523,1.0735711278161197,4.201151854010132,4.671679792287886,3.682922295320745,2.3852012235468845,4.003915400198221,1.4754637643573876,0.8478245393337414,0.30878661329278856
9,Sağlık,-14.197044536458847,-0.7698007016458286,0.0,0.0,-0.002934698407464076,0.011364463484775378,-0.010233366675982403,0.10268540477686994,0.05732959228279544,-0.0007185564333656025
10,Ulaştırma,2.0373407966629564,0.14997224847799195,3.2620741529631347,2.3351980495140756,2.8354032243735894,3.337341762190227,3.006508743264047,1.2786786043891718,1.902983029298233,2.598738226202446
11,Çeşitli mal ve hizmetler,5.404529181895712,5.009540349878727,2.8803794701440566,1.3914308008385445,1.5764658429905598,0.9748877774892861,1.4927430930668173,3.106265300143485,3.574042746160866,1.8576058834373521
12,Web TÜFE,3.28787735136018,3.4497028244895533,2.3370952866494488,1.3889164238195084,1.2973054552010366,2.31738202221321,1.9405371257704251,2.61207767127154,3.0894711288311116,2.308283858714244
