,Alkollü içecekler ve tütün,Ev eşyası,Eğitim,Eğlence ve kültür,Giyim ve ayakkabı,Gıda ve alkolsüz içecekler,Haberleşme,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar",Lokanta ve oteller,Sağlık,Ulaştırma,Çeşitli mal ve hizmetler,Web TÜFE
2024-12-31,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,
2026-01-31,31.155570673554365,24.91910969905602,65.84067233921714,18.595370441809344,26.936493650299532,33.33949698567045,7.9880774629826234,45.19258825569796,37.02873786175098,-1.6159440511792411,25.93997198564242,38.054499149287736,32.23630901863093
2026-02-28,31.222486612097168,19.25995172436039,58.53603734415302,16.013581714387325,22.475746021883005,37.33244624801202,12.647024896883785,41.482143977963304,34.85711828851037,14.890283581322938,25.427325562943093,36.06855360969574,31.934700960599738
