,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
0,Pirinç,6.726631209585787,2.257813393284769,1.7361815929456625,1.9572342394569509,0.30858707522261053,0.21895067286124004,1.3115336325372207,2.3369687694758,5.317318928182657,2.8897381123197396
1,Un ve diğer tahıllar,1.6194029159308565,-0.9506741330564394,5.757456860091659,1.6616325717777158,1.7498749053114437,-1.4952760545117072,6.971501027503746,1.671264942197448,2.2579221206185496,2.0518874178777735
2,Ekmek,9.727849663533572,1.7079819829944443,2.0117247603790966,-0.19669612967353478,2.126912285360416,3.919141346191446,2.0721735413232745,3.2949121918089297,6.838330650105973,2.7648841313664185
3,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",8.481222877899874,0.8053611587662601,-0.10949183637337656,0.9158020518124976,1.2920138456105734,4.663203195167531,1.4127407102651812,3.124461550135682,3.391982490263379,1.2076847096732402
4,Makarna çeşitleri,1.6223139690880073,1.1049572084705916,-0.21231623756122753,4.113132262282804,1.2854534408204943,2.3273070863164325,1.225631913223424,0.5371935843425879,8.52644363766959,4.218173945428516
5,Kahvaltılık tahıl ürünleri,3.0200597755291714,4.2463476022319036,3.75271152138823,4.051682497384568,0.9405491844521219,-1.4461761596050282,2.234750660286422,0.07032551946943855,7.628981303649129,5.700244277415689
6,Dana eti,4.481838497079393,7.043827539077996,5.2736416859137325,1.7676446993137862,4.070703229460237,1.1115068178675802,0.5395022231014401,-2.1309356963221227,2.5567854050491556,-0.8381548533904104
7,Kuzu eti,2.2564626256274645,8.249786713311224,3.7336146355151145,-1.951161496511733,0.043545379396414674,-0.48888420873783867,4.792661572500667,3.052709230125905,-2.226144813368758,0.4027451709364027
8,Tavuk eti,0.3504106505398896,2.7890542268864005,4.827668617579128,-1.3787686041755731,-0.9306999275333849,-0.802493948433558,-0.6247404143793323,5.728409583033622,-0.04509858262797817,-4.469369671985612
9,Diğer etler ve yenilebilir sakatatlar,2.1860212283471236,-0.5299290292006487,2.271840433381289,2.475423856711556,-2.080316115031311,-2.2882270322770237,-4.447968576419969,2.156323788654313,-0.6269962169669463,3.079234851709789
10,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",4.708310048008091,2.1247782817426897,1.451384293739566,4.465925956206007,-1.299886380635773,1.0481982176235638,0.7146918913806921,0.1168079763091745,5.532632086429179,4.289623709713785
11,Taze balık,5.675654808719743,-6.917825578269554,6.618120534109084,4.375657611936323,3.0984051378462274,1.92267952105043,1.2859812315255015,19.140802970690785,5.3016284168794225,-6.8037931884142475
12,Konserve edilmiş veya işlenmiş balık,1.5867077435351096,6.028788750008185,1.127494988036526,-0.3615803715143029,-0.7005911899150452,1.0459405961733115,8.567088383481082,10.464605290735317,0.9499312695948614,0.03375959615249946
13,Süt,10.929951991112862,2.6097968927494053,0.6852476148569986,-0.09408773468269072,-1.1397408837660827,-0.10139508519313445,3.9128523571958507,1.3286134296931262,5.676366949950751,3.28714810902182
14,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",11.842027216626839,1.4387575197514657,0.03207585353068865,-0.5294589869760391,-0.6184738346808327,1.0971229622831924,5.2241633288642175,3.9332101370300965,3.6093414404730684,2.5974913057390747
15,Peynir,6.807099369948344,1.791062738931748,1.6926429129524134,0.46008984080845305,-0.6376134164560399,-0.4532368763123684,1.9905494509108612,1.9057916222169125,4.299141586198507,2.380121328815965
16,Yumurta,2.906419410291594,4.302588134849805,8.554157637161385,-8.284224309827714,-3.943708232020293,-0.2015992311897974,1.2587969520716502,14.35140803611532,6.004277811627401,-2.266443375177091
17,Tereyağı,10.309960855160515,2.0552920988288204,2.6634713524920084,0.4408954421931677,-0.28728044820865994,-1.3933470800988723,2.707704249328158,5.745031087055574,4.006652121135845,6.199200926081517
18,Margarin,-0.7131250895857755,0.12639092818451658,2.529653054872738,5.038046752623759,0.06995718145390573,4.42180218819006,2.9876147614950943,-0.00023032020538549247,8.990807719588778,7.280315202181531
19,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",4.219319588629378,1.1737744714829246,1.6508181427287605,2.737761402920591,0.7986166718704002,2.8443213356619035,2.721084759608128,7.564193114856699,3.4206572224382725,1.608128856169433
20,Taze meyveler,6.8667991619694835,13.682531445991696,9.650999016063434,13.444614696630053,-1.2621401671857324,-6.50471498330184,3.477427523941401,-4.002136825334313,-3.549603808681079,13.615787565407523
21,Kuru meyve ve sert kabuklu yemişler,3.1641590331308755,1.7329131328281955,1.4584826452031852,3.95881883333995,3.3722926640928685,1.2251917165424286,1.8518965564026324,3.724888777660307,5.133067384750323,3.793810298129674
22,Taze sebzeler (patates hariç),-9.909765000760462,17.99066179762885,-9.763049488355058,-22.152299800410535,-9.357247436459925,4.666233295020961,1.2466473362819697,6.570318746758619,16.60604734672926,-0.1762895269151299
23,Patates,-0.0022735322195099883,8.670938063905997,7.225168459374576,10.150601095821532,-0.8325268159488974,-11.624633744079226,-12.868222790184236,5.974381627429626,5.556588160972353,0.4358386176485096
24,Kuru baklagiller,3.625441302625032,2.6941801488699513,1.6720931718658072,2.6987433305957875,0.1924014872354718,-0.5529600728754525,1.329758403395731,7.27719578607402,5.488969209997752,1.6644205968021075
