Grup,2026-01-31
Pirinç,33.509418768571386
Un ve diğer tahıllar,24.418265714727493
Ekmek,42.994828401083375
"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",31.138750305118368
Makarna çeşitleri,39.81004163699951
Kahvaltılık tahıl ürünleri,41.22087528424008
Dana eti,49.707017624842955
Kuzu eti,31.29701036247532
Tavuk eti,16.72218723130612
Diğer etler ve yenilebilir sakatatlar,6.604760572230028
"Şarküteri ürünleri (sucuk, sosis, salam vb.)",34.0283371542609
Taze balık,59.37051501970723
Konserve edilmiş veya işlenmiş balık,35.29281525118335
Süt,34.71242315752665
"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",34.0343597875455
Peynir,29.245113361837728
Yumurta,24.52485296114679
Tereyağı,38.93440103481649
Margarin,40.84244134743906
"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",34.39473427866162
Taze meyveler,38.988508539548846
Kuru meyve ve sert kabuklu yemişler,35.403476344155635
Taze sebzeler (patates hariç),4.16060850209703
Patates,29.76136310659514
Kuru baklagiller,37.26366734153061
"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",29.701644098244117
Şeker,11.585382916865527
"Reçel, marmelat, bal vb. ürünler",41.98660078401944
Çikolata ve şekerlemeler,26.670930523374903
Dondurma,29.50972827774223
Kahve,45.385720074883174
Çay ve bitki çayları,32.50304537505222
Toz kakao,47.21639010719079
Su ve maden suyu,34.95316777578778
"Alkolsüz içecekler (meşrubat, ayran vb.)",40.463593474505814
Meyve ve sebze suları,42.920734192842566
"Alkollü içecekler (rakı, viski, votka vb.)",16.067988261490186
Şarap,9.749452061515584
Bira,23.956494120477203
Sigaralar,32.22241802427117
Erkek giyim,30.312983821291017
Kadın giyim,30.974085530406327
Çocuk giyim,14.558383226614936
Bebek giyim,4.397795871526222
"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",14.11589236116091
Giyim eşyalarının temizlenmesi ve tadilatı,33.862745152737396
Erkek ayakkabısı,23.01162885696424
Kadın ayakkabısı,16.47333193741689
Çocuk ve bebek ayakkabısı,20.817487353461516
Ayakkabı bakım ve tamiri,36.79968967431797
Gerçek kira,60.49150621453705
Konutun bakım ve onarımı için malzemeler,39.362025812228495
Su (şebeke suyu),30.892726665035685
Elektrik,38.37500000000003
Doğalgaz ve ilgili abonelik ücretleri,24.5593689263794
Tüpgaz (ev tüpü),23.28373847370715
"Katı yakıtlar (odun, kömür)",35.905059533728846
Mutfak mobilyaları,8.483201909325988
Yatak odası mobilyaları,19.954171904483452
Yemek odası ve oturma odası mobilyaları,19.171871453796395
Halı,35.97190592835726
Ev tekstili,72.59818237116214
"Buzdolabı, derin dondurucu",13.191090359558565
Çamaşır ve bulaşık makineleri,12.445460560943333
"Fırın, ocak ve fırınlı ocak",16.178349108346946
Klima ve ısıtıcılar,17.26790137591927
Diğer büyük ev aletleri (elektrikli süpürge vb.),15.053092603401975
Elektrikli küçük ev aletleri,21.99950373188717
"Cam, porselen, seramik vb. mutfak eşyaları",17.991840774299384
Çatal-bıçak takımı,14.40271953369303
"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)",16.78397210245748
"Çeşitli küçük aksesuarlar (pil, ampul vb.)",27.040465368318323
Evle ilgili küçük bakım-tamir mal ve hizmetleri,15.319489451376178
"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)",20.82820104149907
"Ev ile ilgili diğer temizlik malzemeleri (bulaşık süngeri, çöp torbası vb.)",33.03881124428265
Ev içi hizmetler (gündelikçi ücreti),47.616328525349225
Ev eşyalarının yıkanması ve temizlenmesi hizmetleri,128.2524663115639
İlaçlar,19.336694538375166
"Ayakta tedavi hizmetleri (muayene ücreti, muayene katkı payı vb.)",-5.616182900489952
Dizel otomobiller (sıfır km),24.312650196795047
Benzinli ve elektrikli otomobiller (sıfır km),25.760653663252686
Motosikletler,16.635187658856566
Bisikletler,35.46121992984832
"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",14.818989225188893
Kişisel ulaştırma araçlarının bakım ve onarımı,57.51751961949323
Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),23.922420472484497
Demiryolu ile şehir içi yolcu taşımacılığı,47.85719431328101
Otobüs ile şehir içi yolcu taşımacılığı,43.12322354127951
Karayolu ile şehirler arası yolcu taşımacılığı,28.681549474903136
Havayolu ile yolcu taşımacılığı,23.55310311079983
Deniz ve yurt içi su yolu ile yolcu taşımacılığı,35.77845759831941
"Diğer satın alınan ulaştırma hizmetleri (nakliye, kargo vb.)",12.39483146396787
"Mobil telefon, ekipman ve aksesuarları",5.109640716529551
Telefon (mobil ve sabit hat) ve internet ücretleri,19.24443615826279
Televizyonlar,10.142106665269047
Bilgisayar ve ekipmanları,17.012175040181088
Müzik enstrümanları,20.98399170198808
"Oyunlar, oyuncaklar ve hobiler",19.054897432202832
"Spor, kamp ve açık hava eğlence malzemeleri",41.4954979517443
Evcil hayvanlar ile ilgili ürünler,8.16577227887163
Evcil hayvanlarla ilgili veterinerlik ve diğer hizmetler,14.377686093676756
Kitaplar,18.839026641036718
Kırtasiye malzemeleri,30.390345775882377
Okul öncesi eğitim ve ilköğretim,35.00000000000001
Orta öğretim,63.18822471519836
Üniversite eğitimi,98.9594419614507
"Lokanta, pastane, kafe vb. yerlerde yenen yemekler",30.77301010700646
"Lokanta, pastane, kafe vb. yerlerde içilen içecekler",10.067841287225288
"Otel, pansyion vb. yerlerde konaklama hizmetleri",154.6937863976894
Erkekler için kuaförlük hizmetleri,73.72729796607244
Kadınlar için kuaförlük hizmetleri,59.49027169200307
Kişisel bakımda kullanılan elektrikli aletler,23.549023061656584
"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler",18.195492298652894
"Mücevheratlar, saat ve kol saatleri",81.4138031043127
Seyahat malzemeleri ve diğer kişisel aksesuarlar,27.58633115547944
Başka yerde sınıflandırılmamış diğer kişisel aksesuarlar,24.77691089470355
Başka yerde sınıflandırılmayan diğer mali hizmetler (para havale ücreti vb.),39.953948093759315
"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",28.089556573907505
TÜFE,
