Grup,2026-01-31
Tahıllar,34.64770010552274
Tahıl unları,15.295030743385496
Bebek mamaları,45.945653022545784
Ekmek ve unlu mamuller,40.5055726879169
Başka yerde sınıflandırılmamış tatlılar ve diğer şekerlemeler,30.690238639436206
"Makarna, erişte, kuskus ve benzeri makarna ürünleri",38.917048453257586
Kahvaltılık tahıl ürünleri,42.218305543807546
"Et, taze, soğutulmuş veya dondurulmuş",36.65687166331071
"Kesilmiş hayvanların sakatat, kan ve diğer parçaları, taze, soğutulmuş veya dondurulmuş, kurutulmuş, tuzlanmış, salamura edilmiş veya tütsülenmiş",6.131775019777574
"Et, kurutulmuş, tuzlanmış, salamura edilmiş veya tütsülenmiş",38.65554722800515
"Kesilmiş hayvanların et, sakatat, kan ve diğer parçalarından hazırlanan müstahzarlar",14.692775503650202
"Balıklar, canlı, taze, soğutulmuş veya dondurulmuş",60.87323153601205
"Balıklar, kurutulmuş, tuzlanmış, salamura edilmiş veya tütsülenmiş",34.42254976570154
Çiğ ve tam yağlı süt,35.25833067649049
Yoğurt ve benzeri ürünler,33.67768295987186
Süt bazlı tatlı ve içecekler,45.9576513527719
Peynir,30.21858912902118
Yumurtalar,24.4780605496246
Tereyağı ve sütten elde edilen diğer yağlar,40.03339930602883
Margarin ve benzeri müstahzarlar,42.68293371362262
Bitkisel sıvı yağlar,34.85997740381879
"Turunçgiller, taze",46.34104557522636
"Diğer meyveler, taze",10.773205201883718
"Sert çekirdekli ve yumuşak çekirdekli meyveler, taze",64.33071482031481
"Üzümsü meyveler, taze",17.096324288207022
"Hurma, incir ve tropikal meyveler, taze",48.28648406312439
"Sert kabuklu meyveler, kabuklu veya kabuksuz",40.769083627603166
"Öğütülmüş meyveler, sert kabuklu meyveler ve diğer müstahzarlar",21.116986037148333
Kurutulmuş ve dehidre meyveler,40.10220399491602
"Meyvesi yenen sebzeler, taze veya soğutulmuş",8.324541047386646
"Yeşil yapraklı veya saplı sebzeler, taze veya soğutulmuş",14.397933943796026
"Yeşil baklagil sebzeleri, taze veya soğutulmuş",-46.27753512687105
"Diğer sebzeler, taze veya soğutulmuş",1.4155222579625093
"Yumrulu sebzeler, plantainler ve yemeklik muzlar",25.479385370670403
Bakliyat,36.99313323146449
Başka yerde sınıflandırılmamış diğer gıda ürünleri,31.73382481114233
"Tuz, çeşniler ve soslar",34.43623112743386
Yemeye hazır gıdalar,21.97912389062644
Şeker kamışı ve şeker pancarı şekeri,11.411338930511029
"Reçel, meyve jöleleri, marmelat, meyve püreleri ve ezmeleri, bal",43.11462375962785
"Sert kabuklu meyve püresi, meyve ezmesi ve macunu",35.255510227819656
"Çikolata, kakao, kakao bazlı gıda ürünleri",29.94195124593695
"Buz, dondurma ve buzlu şerbet (sorbe)",29.8788871189857
"Baharatlar, yemeklerde kullanılan otlar ve tohumlar",31.655188754768115
Kahve ve kahve ikameleri,46.39312612807771
"Çay, mate çayı ve demlenerek hazırlanan diğer bitkisel ürünler",32.3704516177854
Maden suları ve kaynak suları,34.28496308854805
Meşrubatlar,41.160519242483495
Diğer alkolsüz içecekler,41.90478057248861
Meyve ve sebze suları,43.11934509346025
"Alkollü içecekler (Rakı,viski,bira,şarap,votka)",15.095238312687197
Biralar,25.427112542098527
Sigara,32.22241802427117
Erkek giysileri,30.85679926634326
Kadın giysileri,31.12144099560046
Çocuk giysileri,14.739756102183389
Bebek giysileri (0-2 yaş),4.551734531700369
Giyim aksesuarları,14.253972601398646
"Giyim eşyalarının onarımı, tadilatı, dikimi ve kiralanması",35.076534250434
Erkek ayakkabıları,23.164031863007196
Kadın ayakkabıları,16.66195331908611
Bebek ve çocuk ayakkabıları,20.845372316377375
"Ayakkabıların temizlenmesi, tamiri ve kiralanması",38.30518028112178
Ana ikametgah için kiracılar tarafından ödenen gerçek kiralar,61.06994571784108
Konutun bakım ve onarımı için malzemeler,40.31481007185882
Şebeke sistemi üzerinden su temini,31.219491694065393
Elektrik,38.37500000000003
Şebekeler vasıtasıyla doğal gaz,24.5593689263794
Sıvılaştırılmış hidrokarbonlar,23.44195701207168
Odun kömürü,23.565951571744016
"Yakacak odun, peletler ve briketler dahil",75.59399245890003
Ev mobilyaları,16.926082730071546
Yatak takımları ve yatak olarak kullanılan eşyalar,25.994876909902253
"Mefruşat, halılar ve kilimler",35.83595050471675
Döşemelik kumaşlar ve perdeler,154.69552145635123
Masa ve banyo tekstili,18.664749677720316
Büyük mutfak aletleri,14.013323790255727
Çamaşır makineleri ve kurutma makineleri,13.777858832816392
Diğer büyük ev aletleri,10.24840372257052
"Isıtıcılar, klimalar",17.459469845943644
Temizlik ekipmanları,15.217267283398627
Yiyecek pişirme ve işlemede kullanılan küçük aletler,18.711227523383812
İçecek hazırlamada kullanılan küçük aletler,23.878814082329303
Diğer küçük ev aletleri,25.69882058297628
"Cam, kristal, seramik, porselen eşyalar",17.921333396427098
Çatal bıçak takımları,14.977723703714307
Mutfak gereçleri ve eşyaları,17.330267824558888
Çeşitli aksesuarlar,24.347552238631632
Ev temizlik ve bakım ürünleri,21.27673180484557
Diğer dayanıklı olmayan ev eşyaları,33.897353942683026
Ücretli çalışanlar tarafından sunulan ev içi hizmetler,47.83137748678439
Diğer hanehalkı hizmetleri,128.2524663115639
"İlaçlar, aşılar ve diğer eczacılık preparatları",19.333710056223108
Ayaktan tedavi edici ve rehabilite edici hizmetler,-5.616182900489952
Birinci el motorlu taşıtlar,27.657686082168254
Motosikletler,17.241077903348014
Bisikletler,35.842393695497975
Benzin,17.64485790658408
Kişisel ulaşım araçları için diğer yakıtlar,10.42040441620169
Dizel,16.900519049829544
Yağlar,20.91286412255473
Kişisel ulaşım araçlarının bakım ve onarımı,57.51751961949323
Kişisel ulaşım araçlarının sürücüsüz olarak kiralanması,51.73889346649463
Otopark hizmetleri,-0.91924526351983
Geçiş ücretleri,41.65379221760295
"Sürücü kursları/ dersleri, sürücü testleri, sürücü belgeleri ve yola elverişlilik muayene testleri",13.937156140841322
Hızlı taşıma ve tramvay ile yolcu taşımacılığı,48.74029714339494
Otobüs ve uzun yol otobüsleri ile yolcu taşımacılığı,33.00530491866216
Hava yolu ile yurt içi yolcu taşımacılığı,22.850093961286653
Deniz ve iç sularda yolcu taşımacılığı,35.781762976237786
Kurye ve paket/ koli dağıtım hizmetleri,12.39483146396787
Mobil telefon ekipmanları,2.7750027011696154
Bilgi ve iletişim ekipmanlarının onarımı ve kiralanması,44.642028775910745
Mobil iletişim hizmetleri,7.3300000000000365
İnternet erişimi sağlama hizmetleri ve ağ depolama hizmetleri,13.549999999999972
Televizyon ve radyo lisans ücretleri,9.58316249793163
"Bilgisayarlar, diz üstü bilsayarlar ve tablet bilgisayarlar",19.57746940999565
Çevre birimleri ve bunların sarf malzemeleri,12.758860006808991
Spor ekipmanları,33.070111319521715
"Diğer oyunlar, oyuncaklar ve hobiler",23.120345315883227
Diğer eğlence amaçlı büyük dayanıklı mallar,16.118191527687987
Ev hayvanları ve diğer evcil hayvanlar için ürünler,8.46866585383319
Veterinerlik ve ev hayvanları için diğer hizmetler,14.377686093676756
Eğitsel kitaplar ve ders kitapları,19.58175882622184
Diğer kitaplar,19.353725413816015
Kırtasiye ve çizim malzemeleri,30.8407177352517
Temel eğitim (ilkokul),35.00000000000001
Ortaöğretim eğitimi (ortaokul ve lise),48.35293155927123
Yükseköğretim eğitimi,98.9594419614507
"Lokantalar, kafeler ve benzerleri, tam sunum hizmeti verenler",28.247392126159966
"Otel, motel, pansiyon ve benzeri yerlerdeki konaklama hizmetleri",142.58244048872933
Kuaförlük hizmetleri,67.69036530604072
Kişisel bakıma yönelik elektrikli aletler,27.703677695564366
"Kişisel bakıma yönelik diğer aletler, malzemeler ve ürünler",18.495802761490232
Mücevherat ve kol saatleri,82.26122977354102
"Başka yerde sınıflandırılmamış seyahat eşyaları, bebekler için malzemeler ve diğer kişisel eşyalar",26.493784947375264
Havale ücretleri,17.83879751582389
Kakaolu içecekler,
