,Grup,Ürün,Ağırlık,Group_Number,Ana Grup,Üçlü,Dörtlü
0,"Çeşitli küçük aksesuarlar (pil, ampul vb.)",Ampul,0.0007558202012296,75,Ev eşyası,Ev ve bahçe araç gereçleri,Küçük araçlar ve çeşitli aksesuarlar
1,"Fırın, ocak ve fırınlı ocak",Ankastre Fırın,0.0003085184836984,67,Ev eşyası,Ev aletleri,Elektrikli ve elektriksiz büyük ev aletleri
2,"Fırın, ocak ve fırınlı ocak",Ankastre Mikrodalga Fırın,0.0008280013645529,67,Ev eşyası,Ev aletleri,Elektrikli ve elektriksiz büyük ev aletleri
3,"Fırın, ocak ve fırınlı ocak",Ankastre Ocak (Set Üstü) ,0.000587885622829,67,Ev eşyası,Ev aletleri,Elektrikli ve elektriksiz büyük ev aletleri
4,Kuru meyve ve sert kabuklu yemişler,Antep Fıstığı,0.0005290309132495,22,Gıda ve alkolsüz içecekler,Gıda,Meyveler
5,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),Araba Kiralama Ücreti,0.0007220510207876,96,Ulaştırma,Kişisel ulaştırma araçlarının işletimi,Kişisel ulaştırma araçları ile ilgili diğer hizmetler
6,Kişisel ulaştırma araçlarının bakım ve onarımı,Araçların  Tamirine ve Bakımına Ödenen Ücretler (İşçilik),0.0015205481518959,95,Ulaştırma,Kişisel ulaştırma araçlarının işletimi,Kişisel ulaştırma araçlarının bakım ve onarımı
7,Taze meyveler,Armut,0.0007078239151005,21,Gıda ve alkolsüz içecekler,Gıda,Meyveler
8,Kuru meyve ve sert kabuklu yemişler,Ay Çekirdeği,0.0019431407015379,22,Gıda ve alkolsüz içecekler,Gıda,Meyveler
9,Erkek ayakkabısı,Ayakkabı (Erkek için),0.0025580438910967,49,Giyim ve ayakkabı,Ayakkabı,Ayakkabı ve diğer ayak giyecekleri
10,Kadın ayakkabısı,Ayakkabı (Kadın için),0.0022115304412327,50,Giyim ve ayakkabı,Ayakkabı,Ayakkabı ve diğer ayak giyecekleri
11,Çocuk ve bebek ayakkabısı,Ayakkabı (Çocuk için),0.0005412283222725,51,Giyim ve ayakkabı,Ayakkabı,Ayakkabı ve diğer ayak giyecekleri
12,Ayakkabı bakım ve tamiri,Ayakkabı Tamiri (Erkek),5.786657969782271e-05,52,Giyim ve ayakkabı,Ayakkabı,Ayakkabı onarımı ve kiralanması
13,"Alkolsüz içecekler (meşrubat, ayran vb.)",Ayran,0.0004734206259941,36,Gıda ve alkolsüz içecekler,Alkolsüz içecekler,"Maden suyu, alkolsüz içecekler, meyve ve sebze suları"
