,Madde,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28
0,Ampul,4.6726516960321485,2.6647068970882204,1.1073101672345542,3.8641835741831665,1.103730771230893,1.4260493326559986,1.0221640050416259,0.5104885392181568,1.2043983202737474,0.3984016333681506,4.0631891439500745,3.4031028700572286,2.5686838402452006
1,Ankastre Fırın,1.5854525071344439,2.4076587975330854,1.6195464825784711,1.472759596092632,-0.34266927294870353,1.4988229228910077,1.679491790673926,1.0412571258271663,0.24625017442441166,0.32415850220706144,1.0523636281447812,2.450455682592989,0.8789715832938749
2,Ankastre Mikrodalga Fırın,1.8563620432623384,2.1683629129546134,-0.526280144027591,1.6365977698370227,1.5287877408171502,1.780768681370004,1.7526494778681068,0.8931578475071866,0.3850263280812172,-0.4670269965106333,0.8008421500855345,2.350659813608469,1.3258184264445472
3,Ankastre Ocak (Set Üstü) ,2.4880527163037236,1.8691900447339593,0.16705532662304456,1.2527420597179262,0.43039479139919123,1.7694631989498166,1.5571664435306776,1.1311893343179946,0.6897477007252073,-0.13176468090003723,4.313323217491227,2.3556140840368833,0.7777549852532872
4,Antep Fıstığı,0.9029435245219597,3.0344646517977303,4.158846782174619,14.325171874717624,5.6105577054607725,2.593938442408783,5.313781997310141,8.27237415416755,12.812622367069837,4.477315147272298,3.271589625413407,1.5399229159508865,2.692175663461127
5,Araba Kiralama Ücreti,-16.345762324775936,23.16669229818771,24.706027477320468,3.1269740097862098,28.296285367845297,2.2104384377373165,12.708439900095335,-16.45528686585951,-7.873851070042104,-3.127948176787876,-2.8635339135279825,4.074665178036319,-4.775494960851856
6,Araçların  Tamirine ve Bakımına Ödenen Ücretler (İşçilik),16.00716421982833,14.54560179890796,-17.53488880558931,-3.7993739986696196,17.70681746082483,-13.807275484802538,8.630325386451055,4.820983115791266,28.63552461034096,0.5506844576820935,0.0,0.0,0.0
7,Armut,0.06267355978712974,-0.7797068854059841,3.6810016559651437,14.997224104899388,-2.4887506809316284,-9.548242165625586,44.000558089889786,6.899695182586774,4.8630937726520385,2.8648821251355594,0.650659256265973,-1.8451535960659737,-3.548499165969804
8,Ay Çekirdeği,1.8831839431634023,0.08870855842215697,-0.1636884667306604,3.687271066747644,2.217909673045959,2.3849265825715005,-0.26104962522779385,-1.3583616066588644,1.453070824605418,8.944404503849324,-4.730475417800617,5.039208751689683,0.5889382142611699
9,Ayakkabı (Erkek için),3.6538363771118076,7.007567296251249,-0.39144460737567943,-0.08911578993778813,0.5320481132932375,0.9461586053846949,-2.671848210689809,0.47296187744925167,1.6311295506934664,-1.5317148326438823,-0.7377445929860671,2.406671403499483,-0.8120854813029432
