,Gıda ve alkolsüz içecekler,"Alkollü içecekler,tütün ve tütün ürünleri",Giyim ve ayakkabı,"Konut,Su,Elektrik,Gaz ve Diğer Yakıtlar","Mobilya,mefruşat ve evde kullanılan ekipmanlar ile rutin ev bakım ve onarımı",Sağlık,Ulaştırma,Bilgi ve iletişim,"Eğlence,spor ve kültür",Eğitim hizmetleri,Lokantalar ve konaklama hizmetleri,"Kişisel bakım,sosyal koruma ve çeşitli mal ve hizmetler",Sigorta ve finansal hizmetler
2024-12-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-01-31,103.85635081016821,101.02209528163216,94.83076177421084,107.3415372503258,104.69512014600771,123.57157434360933,104.20345375151402,102.23122811523392,106.45559587250224,107.62738959860606,106.49693787908534,107.59431661876391,108.76273771005776
2025-02-28,107.14911993859506,101.00956017168204,90.03396710694282,112.25690383053914,106.47368640435145,118.15317192716464,107.38177529559458,104.3436686280163,106.57189444870545,118.30858679709563,109.8154873340645,110.70071988389903,112.70321575688233
2025-03-31,112.43863060322563,111.06529496573576,87.80669675633291,114.6106358206573,108.94064831333684,118.98979577963152,107.65305860401003,104.54393413293684,109.89197021265419,123.84565850803487,112.17535468206387,112.8414678847523,111.89842432313625
2025-04-30,114.6995289981576,110.99572472163754,93.51096246856599,119.94874852566093,111.81316410733213,120.2059479285322,111.74206700976549,105.49618795787819,111.58956037228083,126.66574462661865,116.20277837847624,115.80079284173135,115.45492848916831
2025-05-31,113.88383178523111,111.06671884768436,100.03080918305231,123.54059170369692,113.16558765182063,120.76582951245818,114.71731050415347,104.93282582801935,114.33207345567057,128.17171482165452,118.33099662687756,117.60599301990815,117.8120599703604
2025-06-30,113.5775823595779,111.22495471321783,99.7622382662215,126.7747877415544,115.44011826365644,121.55705155217977,117.4444297808303,106.70435790705207,116.12522233165677,133.90983981144333,120.815341670132,119.67627795598666,119.27204486011244
2025-07-31,113.66266484504114,117.5585209025771,93.9538857439961,134.09646986422078,117.32395474796454,125.00509690009683,120.83395819585625,110.52101081247999,119.01599200827783,137.48656954211697,123.52745955061236,121.93279848459711,122.79892126996651
2025-08-31,117.09306814760305,124.65818844582773,93.28530971547568,137.66603301803258,118.25763823819754,126.26537180944833,122.7097765439223,111.7846826424321,121.39861113387647,140.32698812446438,125.84642985257331,122.75601758634778,123.42024337296925
2025-09-30,122.5044757098186,124.62163059228854,96.94302482125185,141.190780042178,120.2087066009112,126.8768556896807,126.15452949239058,113.30029283234204,122.77498552912314,165.43893855173062,129.22187328842855,125.69114027245854,121.03165893679538
2025-10-31,126.68331327282775,127.63434311130088,108.98506977381206,144.94142468122246,121.9930842242574,127.48236502330715,127.50294273619322,113.73108750365454,124.07470282634749,165.56896507108488,130.9518177608407,126.79848016798941,122.18258484243592
2025-11-30,125.81314227593542,130.72162594130432,109.73028501773368,147.40100233416987,123.05006549773955,128.33704958121845,129.77570358786218,114.77490272171113,128.45003765525186,166.06288248411937,132.11667534155904,128.2804654722415,122.950178156346
2025-12-31,128.31402659158616,130.79664915880443,106.4989547519004,149.44704463845463,124.96703682192914,130.86743845578985,128.4341181984674,117.72168454596529,129.31242749986055,166.2717938844675,134.10869108550247,130.23461788758368,120.79461461160294
