,Mevsimlik Ürünler Hariç TÜFE,TÜFE B,TÜFE C,TÜFE D,TÜFE E,TÜFE F,Mallar,Enerji,Gıda ve alkolsüz içecekler,Taze meyve ve sebze,İşlenmemiş gıda,Diğer işlenmemiş gıda,İşlenmiş Gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Enerji ve gıda dışı mallar,Temel mallar,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Alkollü içecekler, tütün ve altın",Hizmet,Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler
2024-12-31,100.00000000000003,100.00000000000004,99.9999999999999,99.99999999999999,100.00000000000003,100.00000000000011,100.00000000000001,99.99999999999999,99.99999999999994,99.99999999999999,100.00000000000003,100.00000000000003,100.00000000000001,99.99999999999997,99.99999999999999,100.0,100.00000000000001,100.00000000000006,100.00000000000001,100.00000000000004,100.0,100.0,100.0,100.00000000000001,99.99999999999999,100.0,100.0
2025-01-01,100.93800662997562,101.11365399050663,101.39048892611073,100.95792808286124,100.91061596640135,100.26421402131496,100.19348191982674,99.99999999999999,100.33215580504115,100.87672471914387,100.61577610004643,100.42341710494067,100.08208585569999,100.03553806336821,100.10520339311748,100.14607558767639,100.02153685109742,100.00000000000006,100.00000000000001,100.08986363660219,101.00423872834494,103.09840624016572,100.0,100.00000000000001,111.241923388992,100.0,113.98865185213504
2025-01-02,101.0158515448704,101.16527476207156,101.39048892611073,101.00233055181711,100.98039188151996,100.33965394905755,100.28213480783167,99.99999999999999,100.56859771992151,100.91348609458994,100.84367437441155,100.79221247211608,100.32606075671868,100.27417335262408,100.35183016372089,100.14607558767639,100.02153685109742,100.00000000000006,100.00000000000001,100.08986363660219,101.00423872834494,103.09840624016572,100.0,100.00000000000001,111.241923388992,100.0,113.98865185213504
2025-01-03,101.04016506015465,101.1646677471275,101.39048892611073,101.00180841777318,101.00306351175318,100.36416593351083,100.31093995488752,99.99999999999999,100.64542256208492,101.02953376690095,101.01088501222736,100.99713803122626,100.32319182612324,100.27248778410221,100.34837352712181,100.14607558767639,100.02153685109742,100.00000000000006,100.00000000000001,100.08986363660219,101.00423872834494,103.09840624016572,100.0,100.00000000000001,111.241923388992,100.0,113.98865185213504
2025-01-04,101.04466894106893,101.19602656399607,101.39048892611073,101.02878222793306,100.99692716597029,100.35795764361885,100.3031434999858,99.99999999999999,100.62462900681874,100.5071138904927,100.79841264337915,101.013144323411,100.47140278868025,100.40455083839412,100.50460420135227,100.14607558767639,100.02153685109742,100.00000000000006,100.00000000000001,100.08986363660219,101.00423872834494,103.09840624016572,100.0,100.00000000000001,111.241923388992,100.0,113.98865185213504
2025-01-05,101.05045338902632,101.19802763950264,101.39048892611073,101.03050348645681,100.98206070959192,100.34188441271863,100.28425511579046,99.99999999999999,100.57425269276229,100.17243727077864,100.68017478849185,101.05445490165211,100.48086045821609,100.39921736583084,100.52140775699344,100.14607558767639,100.02153685109742,100.00000000000006,100.00000000000001,100.08986363660219,101.00423872834494,103.09840624016572,100.0,100.00000000000001,111.241923388992,100.0,113.98865185213504
2025-01-06,101.86654492471361,101.43478422408484,101.69078226763143,101.98327677372524,101.80308634379598,100.61236486805007,101.12154109129189,105.35725882003783,100.57425269276226,100.17243727077864,100.68017478849185,101.05445490165211,100.48086045821609,100.39921736583084,100.52140775699344,100.18232614826988,100.06304818182034,100.00000000000006,100.08238404247554,100.08986363660219,101.00423872834494,103.72155842011804,100.7816400432916,100.00000000000001,111.241923388992,100.0,115.98428519347263
2025-01-07,102.0170026487605,101.52818482255196,101.78174735065917,102.09519441957413,101.95510337415314,100.76936568265967,101.25176404224936,105.58308172395763,100.81703310754824,101.1153227432031,101.08208334884081,101.05758083750517,100.58333650127514,100.53007022926943,100.60979071047606,100.19211682680681,100.07423703398803,100.00532062158953,100.08551022472822,100.12428345234825,101.00439496616758,103.91205306917118,100.96908228132912,100.18172143253575,111.241923388992,100.0,116.34189067292394
2025-01-08,102.0386267354857,101.42068690909376,101.64270076235773,102.00272888466363,102.00903927494245,100.82768000131374,101.42411573513245,105.58308595069911,101.27514819702374,103.07699174322013,102.04836439429151,101.29010890375633,100.59339819998287,100.53354627287108,100.62312311485442,100.19335156845449,100.07565037224322,100.00645469544826,100.08605456525886,100.12782265537402,101.00439904633721,103.59776737288684,101.16077380166462,100.2044142002289,111.241923388992,100.0,114.34533457322769
2025-01-09,102.50111621673832,101.63293943910922,101.87073935132072,102.26785675027293,102.558299749436,101.42405496611615,101.97642599998329,106.17346970739273,102.44372438927849,107.59322911297917,104.36828377603067,101.99100641609661,100.74682724607362,100.80206388343859,100.71939447284988,100.24372037723556,100.13326027753467,100.01008812335729,100.15908110887145,100.21078031201996,101.00487139483678,104.03843436934996,101.14692790448214,100.61787328755636,111.241923388992,100.0,115.9094232196303
2025-01-10,102.59161569796618,101.76081873671366,102.00409147699763,102.38126787441908,102.61055721411405,101.4805601502266,101.94654506040801,106.19788170561971,102.34676204399518,106.68204709635806,104.0394435825662,102.09144110554935,100.85431318171096,100.81439117283512,100.87414008407819,100.24952023544068,100.13988541580072,100.0141097348669,100.16672143511613,100.21805711403644,101.00498446876485,104.32989226067593,101.3183830266764,101.26539868968192,111.241923388992,100.0,115.96043848018991
2025-01-11,102.67308780436338,101.85704293987554,102.10384592713878,102.4669520873507,102.66743517710042,101.54207498047788,101.97435230042778,106.21873051134575,102.33344414817226,106.1238229250857,103.91680662380504,102.28989846324554,100.93738264960085,100.81439117283512,100.99846524715795,100.31225645632729,100.21166950932646,100.01228624703458,100.31724587655705,100.20306144873463,101.00537421807479,104.46454278732412,101.48015271537012,101.35686109996271,112.11276013118206,99.99999999999994,116.06197717944633
2025-01-12,102.69786763446429,101.90915307106773,102.15504853073898,102.51608917934794,102.68903399187288,101.56541239498692,101.9722031464488,106.24957933147273,102.292642452167,105.80852619202177,103.76679227509767,102.26172248054856,100.99287449467705,100.826027615542,101.075737478681,100.33011064387736,100.23215656695639,100.01027166165107,100.33644348436948,100.25033860342798,101.00508600175311,104.55406639114831,101.64108203609037,101.35651071604104,112.11276013118206,100.0,116.27061720755248
2025-01-13,102.77899921033207,101.98596187455968,102.1998795522472,102.58627051615198,102.77128495581893,101.64741349810137,102.04592509890226,106.27899265122282,102.47056958599345,105.84371723708514,103.92425879733575,102.5093247084162,101.18884188935051,100.826027615542,101.36903029636687,100.33542013880728,100.2380260163502,100.00889703316437,100.34237270684716,100.2638342988096,101.006537000166,104.6475062316292,101.80158445022956,101.357035741997,112.11276013118206,100.0,116.49882123268706
2025-01-14,102.800139740127,102.12573403276716,102.34999211298268,102.71215424216551,102.84365511497111,101.72566626748942,102.11436218729514,106.31944345585016,102.40202175864708,104.94155393344172,103.66314286281663,102.72075861212359,101.29008267605421,101.00125875118785,101.43352444967462,100.52176291174801,100.45138846547462,100.03380909051639,100.70764545896193,100.35947467208157,101.00669440772843,104.71870764458741,101.95643253591795,101.357035741997,112.11276013118206,100.0,116.62078804606205
2025-01-15,102.92745680335346,102.34665858655202,102.55323590435253,102.90507596146077,102.96916108943564,101.8613792996036,102.13939880088049,106.34010930608208,102.41639356079877,104.34416723394668,103.36852708658826,102.64933125800012,101.57689093438812,101.02658494937364,101.85019539336234,100.55668997237318,100.49132949564846,100.054217758372,100.76233491631139,100.38930955204613,101.00707154458453,105.12568947644145,102.10689430676818,101.42594935706315,112.11276013118206,100.0,118.37940354533939
2025-01-16,103.01755382561889,102.4697929301444,102.63606543988074,103.07308515672003,103.05213327412746,101.91994223259447,102.23003188215618,106.78416043473463,102.35221382923764,103.30759818507198,102.92156523520514,102.63699998028662,101.85021280972315,101.61147361370982,101.96878045859333,100.65566990160085,100.60434167155616,100.24517305774567,100.80958131209871,100.55718364733666,101.00935901319775,105.17086286970662,102.24742056261049,101.4566539105795,112.11276013118206,100.0,118.33162390928305
2025-01-17,103.07561545002379,102.5979288039493,102.69935841723225,103.18130035524354,103.10192530996653,101.92479077029935,102.24586206126025,106.76983613697176,102.40145005625864,102.56695221782236,102.60727553539567,102.63699998028662,102.2199723268882,102.49312887586497,102.08431161291031,100.65474241330087,100.60214319675353,100.1094237900046,100.82096781792136,100.66933667307518,101.01718955311357,105.31586359059263,102.38794681845268,101.7223242947723,112.11276013118206,100.0,118.37198992473903
2025-01-18,103.17916613930413,102.73686609057029,102.81522301071684,103.31910317944339,103.20354997013666,102.00179028353861,102.31001040707156,106.90066046010752,102.46295306427724,102.27513665058814,102.48344494550354,102.63699998028662,102.44488523277717,102.76781189437442,102.28450664533757,100.69936359807977,100.6519915535374,100.03680984013073,100.86644624052487,100.85941997979947,101.02579169299256,105.51409065368296,102.528473074295,101.6462575168013,115.24827902605452,100.0,118.70229237075662
2025-01-19,103.20957889801333,102.78155257375148,102.86454713099678,103.35473552492918,103.23425514359353,102.0351699682256,102.33279866459955,106.88059743097223,102.47751712245622,102.27513665058814,102.48344494550354,102.63699998028662,102.472290520428,102.76781189437442,102.32552251967725,100.74258590138025,100.70096733693025,100.06832836999828,100.88755063274778,100.98567499903635,101.02936830306137,105.56384936229614,102.66899933013724,101.5458256960736,115.24827902605452,100.00000000000009,118.92082217650587
2025-01-20,103.38405709128284,102.97877948800958,103.06325610390668,103.5641522448951,103.40959469268638,102.22560868322971,102.44767209729385,107.16499818788334,102.5620473694323,102.27513665058812,102.44642222341226,102.57268585637765,102.66399484962689,102.7861917487451,102.60330687182677,100.82657313945501,100.7946735212787,100.17624109768254,100.93983922405586,101.15125705767925,101.04638488054248,105.89356078874815,102.80952558597944,102.21399050685746,115.24827902605452,100.00000000000009,119.18390144054004
