,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31
0,Mevsimlik Ürünler Hariç TÜFE,3.343322193534326,3.2131403891742405,2.395786629624075,1.3271497298875223,1.4882479644793944,2.6719965075286067,2.0897424354926475,2.6012358947310243,2.3664596735340604,1.0995971617971279,0.9187386724908375
1,TÜFE B,3.7596905952504533,2.61841541965544,2.170181872939314,1.9958442809415722,1.6913515707487559,2.0834292694617895,1.9620451434138486,2.9544234294174077,3.299619922843733,1.0123303945711815,0.6897200947508897
2,TÜFE C,3.114436542348953,2.8773451219970436,2.313888093951477,2.2099483548124743,1.9608922411852303,2.1452884206201173,1.7712131677469545,2.936518160973156,2.975718282331208,0.6658509637520016,0.311194514383506
3,TÜFE D,3.8927374317399677,2.250059573705987,2.460779056136908,2.0096880961799624,1.7522011563326778,2.6401418362203666,1.7908898633195447,2.688606717468267,2.958595962156041,1.1162928879055345,0.6036926381574048
4,TÜFE E,3.3998316354479474,3.1828481555658206,2.389145132055104,1.4227289329080017,1.3461097191087346,2.2052799949131785,1.7490696531337946,2.6874570840636824,3.0717767500740623,1.0385688209788801,0.623555823675237
5,TÜFE F,3.349725690573413,3.8221285438039265,2.0668966649381115,1.331922915979833,1.275708674142062,1.9772286531895888,2.0513474377104934,2.78410254478334,3.21610002701207,1.151730910544213,0.6086467367098947
6,Mallar,3.606117661758823,3.7920848901487725,2.1321756536342162,0.914830362367125,0.5433351467255099,1.9938722325587799,1.6035939248192577,1.7916336531882848,3.6194343187477607,0.9319036983164608,0.5363645285339058
7,Enerji,4.687495577400069,0.06917912296819928,4.225112474237536,2.0920823354500406,2.1140182608571756,5.936703068788307,0.8142617500747296,1.1545628969559685,0.9555085075375391,1.7411207778038174,0.08962052340044102
8,Gıda ve alkolsüz içecekler,3.4246050585065246,5.117009754623347,1.789464044902922,-0.3910242126241248,-0.21158412847869235,0.7003576171809689,2.132092831466137,2.8669950563534163,4.213054655690307,1.4971642380656514,1.4854219801083701
9,Taze meyve ve sebze,-3.429531445473144,16.149148179003546,-1.6407328365023899,-5.549800514802183,-4.9472820404798945,-1.6967990870061622,2.4812866982577564,0.6620497119257385,5.864248289232776,1.7759246791259065,-6.938448184674339
10,İşlenmemiş gıda,0.32178885874731833,9.215161173712394,1.9554345398020923,-2.1486542327439406,-1.229778477368415,-0.6363809757043204,1.4667786638481006,2.6796721450043304,3.838266486405062,0.5166603688754989,0.7784695798698504
11,Diğer işlenmemiş gıda,3.1077428448539335,4.392065535197465,4.738550395512342,0.323214620839507,1.313845718064921,0.04434830159547598,0.8268554226179781,3.973214452338958,2.5807300471718753,-0.28999023911323585,6.076948034712581
12,İşlenmiş Gıda,6.1839401421101,1.6737259148557282,1.639671601614734,1.2002081545067433,0.6797124143414157,1.8483052791171461,2.689504386010899,3.0220686706490474,4.522288550614695,2.3008736387273743,2.0751621701356693
13,Ekmek ve tahıllar,7.715163726344043,1.0969923027120965,1.707479845731763,0.661338512209042,1.7568679411968935,3.3147777140946966,2.415930920956111,2.84461737650914,5.353225606613243,2.2068617671407553,1.821550298896324
14,Diğer işlenmiş gıda,5.423977212226316,1.9661859388731218,1.6055793403914054,1.4714098271075615,0.14193065642731373,1.1043457217800423,2.8313258672678643,3.1136884619765715,4.094387356116291,2.3498716658810537,2.2071481350641187
15,Enerji ve gıda dışı mallar,3.385187759785624,4.004376672943177,1.7189904667133549,1.5800202620159354,0.6115886318365682,1.6559977812040438,1.4730273457872256,1.169879924324091,4.095829878467039,0.19634928382381567,-0.08104906037937343
16,Temel mallar,3.7518099938772975,3.2459897713590147,1.7892167433096073,1.7152435672115773,0.6635224835025655,1.203548210689287,0.7895069977517544,1.1818135360716742,4.199178275830739,-0.26906610681886045,-0.15014896055152716
17,Giyim ve ayakkabı,4.509273205853326,6.590836512095644,1.126056623492122,-0.025540070044149932,0.486506975402734,0.6085339151719049,-3.7856575001299797,1.3558664649674812,12.22377629705187,-1.0048819627970662,-0.8516193453719956
18,Dayanıklı Mallar (altın hariç),1.6671456330703105,1.1872597770621773,2.5726678567407513,2.595158330763736,0.8531287932594056,1.7215872137561483,2.9882337163619432,1.2390202215902146,1.7556864887821266,0.14689375375687153,0.09108112220049258
19,Diğer Temel Mallar,7.324073386537822,3.873407552383523,0.9763676664453103,1.8381198568022228,0.4726261101055451,0.7947206837838783,1.150310169481128,0.8918233249278762,1.205770687019414,-0.3132584630409996,0.12389280755955023
20,"Alkollü içecekler, tütün ve altın",0.8750570895118326,9.344856052826088,1.2520474373367563,0.6761340546549199,0.26085916207698734,4.723837086497706,5.951852077169528,1.0954939095140226,3.451076249522389,3.120906150609337,0.3421699229669284
21,Hizmet,2.3516908971908723,2.4301527759433172,2.9554213123981876,2.8079886734835746,3.512590603026844,3.2406401324267975,2.890519725646512,4.89631705579594,1.6576452351730886,1.6982487026936832,0.8162794777769933
22,Kira,4.220782643345111,3.6610983570642297,4.30434925297547,3.5997193681023054,4.590043389570964,5.2686019609664125,3.5081328623481456,4.801648422266114,3.1456211443673165,3.236752146385524,2.1966795619487445
23,Lokanta ve oteller,3.5612199213409523,1.0735711278161197,4.201151854010132,4.671679792287886,3.682922295320745,2.3852012235469067,4.003915400198199,1.4754637643573876,0.8478245393337636,0.5300216404714009,0.3274924756381803
24,Ulaştırma hizmetleri,5.111877271290743,-1.5934962350205084,10.046711356484185,1.2772705172363619,11.512115052837867,4.663008187492568,-0.3846082213132096,-1.6167055303482725,-1.5749466976631488,4.834780075334355,-9.28403598774372
25,Haberleşme hizmetleri,-1.3700262441556643,-2.2837859713732978,-3.5407054805593807,0.005503952456353822,0.03820787040749174,0.17416968325800752,2.206490492231672,2.0431272721823213,-0.05672435104079332,2.2630452397831125,3.847877141098077
26,Diğer hizmetler,-0.928620718427331,5.971264377952812,0.5843485796697578,0.054689767564397584,1.3668403660317185,2.4696495453339518,0.9538870963202717,13.973664472812564,1.9427303614778957,0.34283687372287375,0.27204119441001096
27,Web TÜFE,3.28787735136018,3.4497028244895533,2.3370952866494488,1.3889164238195084,1.2973054552010366,2.31738202221321,1.9405371257704251,2.61207767127154,3.0894711288311116,1.145139842396814,0.5766790242469844
