,Mevsimlik Ürünler Hariç TÜFE,TÜFE B,TÜFE C,TÜFE D,TÜFE E,TÜFE F,Mallar,Enerji,Gıda ve alkolsüz içecekler,Taze meyve ve sebze,İşlenmemiş gıda,Diğer işlenmemiş gıda,İşlenmiş Gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Enerji ve gıda dışı mallar,Temel mallar,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Alkollü içecekler, tütün ve altın",Hizmet,Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-31,32.42074925394394,33.68149417426369,33.335037122825796,32.993687495311086,32.74550858727028,34.29900231449869,29.208460707100016,26.714340741960218,33.309388848419964,26.276393656873708,32.00634104393703,36.74453057263134,34.712763130193025,39.26599839584248,32.494098682256144,26.291544603782356,24.46084914171971,26.907366269481713,22.66356155978748,25.760758894048273,38.753137542070235,43.20281906548467,62.87216918108805,37.45048763794352,33.88027868284331,9.115663648987882,40.557820473661785
2026-02-28,32.03908029303791,31.43737846253012,31.26247670058703,30.841077137030858,32.44518863723536,33.8947566060632,28.76225952337129,26.369581640039918,37.74348655588794,58.53290760534337,45.358018103476915,37.25390355577263,31.80323368358363,36.37653565017671,29.656012105595895,22.173429017302347,19.54519648234607,14.0840671095943,23.539725498337994,18.46716608752602,41.89424310651974,44.12877031886308,61.487670971595534,35.586694628083414,31.285519957537034,16.55754714700759,46.72307334723753
