,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31
0,Ev ve bahçe araç gereçleri,4.669922126051729,2.9131761052989313,0.5952930835714021,2.346973347088044,1.2747320344620672,1.3775756977300935,1.229797071134997,0.44171515537250183,1.4414978339553075,0.44925288822912357,3.1342275809485898
1,Ev aletleri,1.765451221489589,1.7777358981341251,0.6989480072289389,1.3736964033543408,0.4444694617013578,1.5310892493145545,1.47874202124052,0.6731702470269552,0.7649201472923028,-0.2636406147624726,1.4301140138239798
2,Gıda,3.4321411865168905,5.3450318476516046,1.8178598679908786,-0.5406543912741313,-0.3401367804548694,0.5749131903447502,1.9689828873499238,2.7854631938776464,4.241325216772718,1.4279073283327337,1.560927233520526
3,Kişisel ulaştırma araçlarının işletimi,3.290306626314332,-0.4490250919512828,-0.3644612429780425,-0.6677166096192289,4.128498854568052,4.985344541927739,1.147981678563581,1.8542241546438465,1.3326485869993965,3.7723121525350622,-2.1565638926970387
4,Ayakkabı,4.675814221492702,6.931025850150463,2.3056394693092397,-0.17470524315644775,-0.2169410722271281,-0.2064073513997733,-4.545122594860384,2.1110099602668075,8.327898618243324,-0.7531734131353329,-0.48561510513878137
5,Alkolsüz içecekler,3.310355569423784,1.656065640977178,1.34282891236015,1.9735260804206733,1.7697994638368408,2.593748412718111,4.545541674201581,4.043645850261646,3.809993642675935,2.4886813934758223,1.8122013354650912
6,Yemek hizmetleri,1.9719906980582902,-0.6217202943150091,3.1497404720904676,2.475603797901127,2.411922296801139,1.2244283228848518,3.768630990020072,2.6319037416467683,1.8724942336625139,1.5354958998514023,1.5198750540529327
7,Kişisel bakım,4.931038242847285,4.9584309341519806,1.6074825840085794,0.6969302066001992,1.6477116797769753,0.7804820995330308,1.464466111980145,2.6775321652929174,1.195404921311205,-0.1443785938810782,1.6406902708797633
8,Konutun bakım ve onarımı,8.269612079465794,7.731925179695076,3.2905064392104277,5.515020134435167,2.0768743466168305,1.473041878349668,1.1498802393937302,0.7455885699770626,1.1292371382354283,-0.29013683377232535,1.893715014512587
9,Başka yerde sınıflandırılmayan mali hizmetler,-0.008223554685815593,-0.024672693029870185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Ev içi tekstil,34.358901032848976,11.034082867985795,-0.24218327270766338,7.870605882532233,1.009211062330917,0.26665869128268405,1.2472618119506285,0.9386286320473891,1.5181159054635351,0.018249833156080975,0.9656622193403352
11,Başka yerde sınıflandırılamayan kişisel bakım ürünleri,7.011938641810911,5.206391365798013,7.032077499920808,3.540717104345914,1.3709498015340271,1.5645383733122298,1.5846418261550532,4.39958562246312,10.564087670433242,0.5655969967562458,2.03889827833581
12,Giyim,4.4620095666541015,6.428961994375126,0.779786271513383,0.01001381902778764,0.6214985729544376,0.808281031553304,-3.5040693962300917,1.215397348726488,13.281997736182882,-1.0656479732471524,0.8261614764803582
13,Ulaştırma hizmetleri,5.111877271290788,-1.593496235020475,10.04671135648425,1.2772705172363619,11.512115052837956,4.663008187492568,-0.3846082213131874,-1.6167055303483835,-1.574946697663171,4.834780075334244,-9.612262831096686
14,"Görsel-işitsel sistemle (audıo-vısual), fotoğrafla ve veri işlemle ile ilgili ekipman",0.2980232175093134,0.022117779004626748,1.0685161708323454,2.7509017474053765,0.4173651552005442,0.5195314775603643,0.6307099382606207,0.0024426110784236954,1.0359381175034432,0.10491081151746684,2.5053154880755546
15,Alkollü içecekler,0.14023734378119102,0.3155398479106175,0.0,0.0,0.0018945229076194892,8.213433147830852,3.1072543786485385,0.08227148661137385,0.024076176568810226,0.012041693706699164,-0.012194979135515815
16,Araç satın alımı,1.1670440198668919,0.7811619720249796,4.4406420409561775,4.081421833123389,1.0616304875451732,2.240362075895197,3.2776932844067685,1.4704156442992833,2.5108945633726565,0.6215480970543474,0.4967399328746236
17,Ev bakım için mal ve hizmetler,5.923182797764848,3.7494903427227166,2.293971191697186,0.609933918781369,-0.600261683904757,2.664432336306688,1.3542309594344104,0.05833710749667542,3.2915451495399095,0.680292158496032,1.0878553316751916
18,"Züccaciye, yemek takımı ve hanehalkı aletleri",4.695566957667419,3.6523109599015724,0.7963199491119122,0.5801060038283179,0.020570057320989932,0.3862717055031384,1.4744976275223642,1.064813313683044,0.5399269036738596,-1.0503266503822606,2.1137621978290166
19,Telefon ve telefaks hizmetleri,-1.3700262441556643,-2.2837859713732978,-3.5407054805593474,0.005503952456331618,0.03820787040749174,0.17416968325800752,2.206490492231694,2.043127272182299,-0.05672435104078222,2.2630452397830902,4.254891601125177
20,"Gazete, kitap ve kırtasiye",5.986253520017559,3.2778545344999577,1.5045058405070977,0.2547263887251461,-0.45037272477683743,1.1547546816891074,1.1583562641608758,2.3509398474800047,1.0462919513946956,-0.6901455558019465,2.5618740774238535
21,"Elektrik, gaz ve diğer yakıtlar",5.1183112626775,0.3799165534971616,8.321843569714883,2.3014953204787414,0.2825914960834286,8.055109576156628,0.7517447410663403,0.3424154601528562,1.0449632726423852,0.26687394028031,0.7130055743201247
22,"Diğer eğlence araçları ve malzemeleri, bahçe ve evcil hayvanlara ilişkin ürünler, hizmetler",6.549638240798128,1.9725922164890441,0.43996707893059206,1.101271318110708,0.4741620490450016,1.4164560807966131,0.9618270532138595,0.8268224573544591,0.9665534560805877,-0.2217845802468088,1.169126822197275
23,"Mobilya, mefruşat, halı ve diğer yer döşemeleri",4.311382211708925,2.8181730964225604,0.22368135016586077,0.7457588653955627,1.3178030353821368,0.6067122355629229,1.1497973243718151,1.7486020985425066,0.23733834418671051,-0.20854829395624552,1.3084104907233884
24,Gerçek kira,4.220782643345111,3.6610983570642297,4.30434925297547,3.5997193681023054,4.590043389570964,5.2686019609664125,3.5081328623481456,4.801648422266114,3.1456211443673165,3.236752146385524,2.2274281772864724
25,Diğer temel dayanıklı eğlence ve kültür araçları,3.7151123919836326,2.153328546428579,0.8524390056574127,1.6281593557560647,1.4092855099440138,2.78222967711792,2.1812047745902285,1.5683558825125399,1.7288493765982071,-1.2807326053680512,1.3436286300687161
26,Konaklama hizmetleri,26.961116466686597,21.122072948792002,14.402989633435004,23.884179319904764,12.880780136501313,10.006323317278486,5.425368365200622,-5.401288802691995,-5.762782756055751,-6.482317470858789,-3.048487791787724
27,Tütün,0.0,10.850000000000005,0.0,0.0,0.0,4.929611998452255,6.905528053732923,0.37965628889768954,1.964620634700176,3.7195778365712417,0.0
28,Su (Şebeke suyu) ve konutla ilgili çeşitli hizmetler,6.73514080022819,1.580272900688584,1.2309565096079833,5.287752396669698,4.587716563050037,1.2065902208431956,1.2035861217826849,1.4948607988558127,1.6916950156999455,1.6168243915236413,0.6985110261432004
29,Telefon ve telefaks ekipmanı,-0.46974704203595063,0.30889952336727866,1.2720846718753842,-0.46835056005004594,-0.6425525260053799,0.5403677138693164,0.9612973448930529,2.3659571835521254,0.14193235575463703,-0.8181067248294926,0.7703322670687074
30,Ayakta tedavi hizmetleri,-22.318873026743226,-1.2491911762628205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Orta öğretim,8.5344676195517,17.751953177533064,0.0,0.0,0.0,10.27674484441392,0.0,0.0,0.0,0.0,0.0
32,Üniversite eğitimi,11.984843733852891,2.0478145834066597,0.0,0.0,0.3777159137296815,-7.060640960787623e-09,-7.766708387535459e-08,73.44599999999998,0.0,0.0,0.0
33,Okul öncesi eğitim ve ilköğretim,-0.4448835922582606,-0.6386982627419768,0.05747385539482952,0.056318624870210776,0.0,-0.0018724343011533584,0.0,16.93083333333334,1.1708918484973463,0.0,0.0
34,"Tıbbi ürünler, aletler ve malzemeler",0.02851051170169594,-0.11772724456284855,0.0,0.0,-0.0068812959753250524,0.02664850438500732,-0.023992531458250088,0.2407831113605985,0.13424478794212824,-0.015143444199605671,7.162993507829296
